id,scene,date,street_or_gps,type,length_cm,width_cm,depth_cm,reference_in_frame,weather,notes
001,001,2026-07-04,47.27743 39.70409,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
002,002,2026-07-04,47.27920 39.70583,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
003,003,2026-07-04,47.27927 39.70631,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
004,003,2026-07-04,47.27927 39.70631,pothole,,,,,,"gt_photos: 2 кадр(а) с рулеткой; пара — общий кадр сцены 003, в local_pairs не копируется"
005,005,2026-07-04,47.27924 39.70634,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
006,006,2026-07-04,47.27932 39.70642,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
007,007,2026-07-04,47.27932 39.70642,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
008,007,2026-07-04,47.27932 39.70642,pothole,,,,,,"gt_photos: 2 кадр(а) с рулеткой; пара — общий кадр сцены 007, в local_pairs не копируется"
009,009,2026-07-04,47.27920 39.70443,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
010,010,2026-07-04,47.28138 39.70868,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
011,011,2026-07-04,47.28138 39.70868,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
012,012,2026-07-04,47.28216 39.70977,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
013,013,2026-07-04,47.28239 39.70990,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
014,013,2026-07-04,47.28239 39.70990,pothole,,,,,,"gt_photos: 2 кадр(а) с рулеткой; пара — общий кадр сцены 013, в local_pairs не копируется"
015,015,2026-07-04,47.28239 39.70990,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
016,016,2026-07-04,47.28224 39.71070,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
017,017,2026-07-04,47.28224 39.71070,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
018,018,2026-07-04,47.28224 39.71070,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
019,019,2026-07-04,47.28234 39.71242,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
020,019,2026-07-04,47.28234 39.71242,pothole,,,,,,"gt_photos: 2 кадр(а) с рулеткой; пара — общий кадр сцены 019, в local_pairs не копируется"
021,021,2026-07-04,47.28234 39.71242,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
022,022,2026-07-04,47.28189 39.71301,pothole,,,,,,gt_photos: 2 кадр(а) с рулеткой
023,022,2026-07-04,47.28189 39.71301,pothole,,,,,,"gt_photos: 2 кадр(а) с рулеткой; пара — общий кадр сцены 022, в local_pairs не копируется"
