pair_id,front,back,mode,fusion_fused,fusion_matched,defects,report,overlay
001,datasets\local_pairs\001\front.jpg,datasets\local_pairs\001\back.jpg,two_view_unmatched,false,false,0,001__front__back_pair.json,001__front__back_pair_annotated.jpg
002,datasets\local_pairs\002\front.jpg,datasets\local_pairs\002\back.jpg,two_view_unmatched,false,false,1,002__front__back_pair.json,002__front__back_pair_annotated.jpg
003,datasets\local_pairs\003\front.jpg,datasets\local_pairs\003\back.jpg,two_view_unmatched,false,false,3,003__front__back_pair.json,003__front__back_pair_annotated.jpg
004,datasets\local_pairs\004\front.jpg,datasets\local_pairs\004\back.jpg,two_view_unmatched,false,false,3,004__front__back_pair.json,004__front__back_pair_annotated.jpg
005,datasets\local_pairs\005\front.jpg,datasets\local_pairs\005\back.jpg,two_view_unmatched,false,false,2,005__front__back_pair.json,005__front__back_pair_annotated.jpg
006,datasets\local_pairs\006\front.jpg,datasets\local_pairs\006\back.jpg,two_view_unmatched,false,true,1,006__front__back_pair.json,006__front__back_pair_annotated.jpg
007,datasets\local_pairs\007\front.jpg,datasets\local_pairs\007\back.jpg,two_view_unmatched,false,false,0,007__front__back_pair.json,007__front__back_pair_annotated.jpg
008,datasets\local_pairs\008\front.jpg,datasets\local_pairs\008\back.jpg,two_view_unmatched,false,false,0,008__front__back_pair.json,008__front__back_pair_annotated.jpg
009,datasets\local_pairs\009\front.jpg,datasets\local_pairs\009\back.jpg,two_view_unmatched,false,false,0,009__front__back_pair.json,009__front__back_pair_annotated.jpg
010,datasets\local_pairs\010\front.jpg,datasets\local_pairs\010\back.jpg,two_view_unmatched,false,false,0,010__front__back_pair.json,010__front__back_pair_annotated.jpg
011,datasets\local_pairs\011\front.jpg,datasets\local_pairs\011\back.jpg,two_view_unmatched,false,false,1,011__front__back_pair.json,011__front__back_pair_annotated.jpg
012,datasets\local_pairs\012\front.jpg,datasets\local_pairs\012\back.jpg,two_view_unmatched,false,true,2,012__front__back_pair.json,012__front__back_pair_annotated.jpg
013,datasets\local_pairs\013\front.jpg,datasets\local_pairs\013\back.jpg,two_view_unmatched,false,true,1,013__front__back_pair.json,013__front__back_pair_annotated.jpg
014,datasets\local_pairs\014\front.jpg,datasets\local_pairs\014\back.jpg,two_view_unmatched,false,true,1,014__front__back_pair.json,014__front__back_pair_annotated.jpg
015,datasets\local_pairs\015\front.jpg,datasets\local_pairs\015\back.jpg,two_view_unmatched,false,false,1,015__front__back_pair.json,015__front__back_pair_annotated.jpg
016,datasets\local_pairs\016\front.jpg,datasets\local_pairs\016\back.jpg,two_view_unmatched,false,false,1,016__front__back_pair.json,016__front__back_pair_annotated.jpg
017,datasets\local_pairs\017\front.jpg,datasets\local_pairs\017\back.jpg,two_view_unmatched,false,false,1,017__front__back_pair.json,017__front__back_pair_annotated.jpg
